# VVVID RA Dec l b Ks P Amp dist(kpc)
VVV2692153.14-414338.0 269:21:53.14 -41:43:38.0 -9.858 -8.54 14.875 0.589605 0.34 12.7
VVV2693454.84-414624.9 269:34:54.84 -41:46:24.9 -9.82 -8.704 15.012 0.599208 0.38 13.6
VVV2700611.95-415822.5 270:06:11.95 -41:58:22.5 -9.808 -9.14 14.087 0.578781 0.29 8.6
VVV2694257.30-414716.9 269:42:57.30 -41:47:16.9 -9.784 -8.799 14.473 0.62884 0.26 10.8
VVV2693731.05-414442.0 269:37:31.05 -41:44:42.0 -9.778 -8.719 14.348 0.671317 0.27 10.5
VVV2691938.21-412623.3 269:19:38.21 -41:26:23.3 -9.617 -8.376 14.262 0.481343 0.35 8.4
VVV2692326.55-412426.2 269:23:26.55 -41:24:26.2 -9.565 -8.402 14.465 0.683723 0.23 11.2
VVV2694342.94-412915.7 269:43:42.94 -41:29:15.7 -9.513 -8.663 14.283 0.474424 0.3 8.5
VVV2690222.32-410752.7 269:02:22.32 -41:07:52.7 -9.451 -8.037 14.009 0.541568 0.37 8.0
VVV2694302.87-412131.5 269:43:02.87 -41:21:31.5 -9.402 -8.593 13.769 0.637263 0.26 7.7
VVV2693921.39-411752.1 269:39:21.39 -41:17:52.1 -9.371 -8.523 14.134 0.662357 0.28 9.4
VVV2701430.46-412928.6 270:14:30.46 -41:29:28.6 -9.33 -9.002 15.033 0.495587 0.34 12.4
VVV2702443.71-412209.0 270:24:43.71 -41:22:09.0 -9.159 -9.056 13.779 0.572194 0.27 7.3
VVV2701020.22-411613.9 270:10:20.22 -41:16:13.9 -9.158 -8.851 14.182 0.629759 0.36 9.4
VVV2701314.36-411645.6 270:13:14.36 -41:16:45.6 -9.149 -8.887 14.448 0.598466 0.31 10.4
VVV2700937.26-410734.9 270:09:37.26 -41:07:34.9 -9.035 -8.774 14.036 0.489627 0.28 7.6
VVV2692834.16-404601.9 269:28:34.16 -40:46:01.9 -8.968 -8.148 14.476 0.617486 0.34 10.7
VVV2700623.08-405436.0 270:06:23.08 -40:54:36.0 -8.862 -8.635 14.633 0.508143 0.28 10.4
VVV2702131.57-410043.4 270:21:31.57 -41:00:43.4 -8.861 -8.851 14.418 0.585954 0.27 10.1
VVV2692804.21-403611.6 269:28:04.21 -40:36:11.6 -8.826 -8.063 14.261 0.569084 0.32 9.2
VVV2695706.51-403817.5 269:57:06.51 -40:38:17.5 -8.678 -8.402 15.035 0.392449 0.36 11.0
VVV2700626.95-403739.7 270:06:26.95 -40:37:39.7 -8.611 -8.5 14.594 0.548249 0.34 10.6
VVV2695852.03-403207.4 269:58:52.03 -40:32:07.4 -8.576 -8.372 14.506 0.571716 0.3 10.4
VVV2690023.38-412549.0 269:00:23.38 -41:25:49.0 -9.727 -8.161 13.998 0.656728 0.26 8.8
VVV2690705.93-411745.8 269:07:05.93 -41:17:45.8 -9.567 -8.169 13.651 0.517874 0.32 6.5
VVV2704453.27-404442.6 270:44:53.27 -40:44:42.6 -8.482 -8.983 14.299 0.47217 0.42 8.5
VVV2705217.06-404403.2 270:52:17.06 -40:44:03.2 -8.427 -9.061 13.299 0.745234 0.32 6.7
VVV2701459.53-401819.4 270:14:59.53 -40:18:19.4 -8.273 -8.441 14.301 0.498925 0.33 8.8
VVV2695053.14-400457.8 269:50:53.14 -40:04:57.8 -8.224 -8.065 13.831 0.484907 0.32 6.9
VVV2700756.25-400913.3 270:07:56.25 -40:09:13.3 -8.181 -8.29 14.412 0.56727 0.25 9.9
VVV2700952.90-400902.4 270:09:52.90 -40:09:02.4 -8.167 -8.31 13.515 0.649705 0.31 6.9
VVV2710350.74-402140.9 271:03:50.74 -40:21:40.9 -8.024 -9.014 14.265 0.534248 0.37 8.9
VVV2704259.94-401219.3 270:42:59.94 -40:12:19.3 -8.012 -8.707 13.773 0.621813 0.35 7.6
VVV2703052.90-400432.9 270:30:52.90 -40:04:32.9 -7.971 -8.509 14.503 0.526078 0.23 9.9
VVV2703159.65-400449.7 270:31:59.65 -40:04:49.7 -7.968 -8.524 14.109 0.569726 0.25 8.6
VVV2702216.05-395817.7 270:22:16.05 -39:58:17.7 -7.931 -8.363 14.493 0.583019 0.23 10.5
VVV2701245.24-395145.4 270:12:45.24 -39:51:45.4 -7.894 -8.204 13.298 0.806959 0.24 7.0
VVV2702437.84-395238.8 270:24:37.84 -39:52:38.8 -7.833 -8.344 14.184 0.456159 0.22 7.9
VVV2701322.62-394347.3 270:13:22.62 -39:43:47.3 -7.772 -8.147 14.244 0.538057 0.34 8.9
VVV2705901.88-400120.6 270:59:01.88 -40:01:20.6 -7.751 -8.8 14.646 0.543759 0.31 10.8
VVV2710006.27-395743.4 271:00:06.27 -39:57:43.4 -7.691 -8.783 14.005 0.562756 0.3 8.1
VVV2705349.58-395348.3 270:53:49.58 -39:53:48.3 -7.671 -8.682 13.765 0.5397 0.29 7.1
VVV2701917.58-393923.0 270:19:17.58 -39:39:23.0 -7.67 -8.178 13.988 0.534302 0.34 7.8
VVV2701053.67-393334.9 270:10:53.67 -39:33:34.9 -7.637 -8.037 14.305 0.600413 0.34 9.7
VVV2702530.70-393258.3 270:25:30.70 -39:32:58.3 -7.537 -8.197 15.202 0.566707 0.27 14.5
VVV2704032.86-393612.4 270:40:32.86 -39:36:12.4 -7.491 -8.393 14.712 0.628354 0.31 12.1
VVV2710947.64-394556.3 271:09:47.64 -39:45:56.3 -7.456 -8.8 14.15 0.551682 0.31 8.6
VVV2712646.82-395054.3 271:26:46.82 -39:50:54.3 -7.427 -9.031 14.787 0.46736 0.35 10.7
VVV2710801.17-393840.2 271:08:01.17 -39:38:40.2 -7.359 -8.723 15.659 0.439425 0.39 15.8
VVV2711929.17-394136.4 271:19:29.17 -39:41:36.4 -7.333 -8.876 13.974 0.562658 0.26 8.0
VVV2710833.57-393614.6 271:08:33.57 -39:36:14.6 -7.32 -8.71 14.395 0.474892 0.31 8.9
VVV2712900.58-394418.1 271:29:00.58 -39:44:18.1 -7.315 -9.004 14.151 0.56399 0.33 8.7
VVV2705536.91-392615.5 270:55:36.91 -39:26:15.5 -7.251 -8.484 14.093 0.390447 0.41 6.9
VVV2703343.53-391059.2 270:33:43.53 -39:10:59.2 -7.161 -8.115 13.91 0.500065 0.27 7.3
VVV2713907.68-393543.8 271:39:07.68 -39:35:43.8 -7.125 -9.052 12.712 0.537527 0.27 4.2
VVV2713047.64-393014.7 271:30:47.64 -39:30:14.7 -7.094 -8.915 14.488 0.545768 0.28 10.1
VVV2712031.94-392215.1 271:20:31.94 -39:22:15.1 -7.038 -8.736 14.104 0.528586 0.27 8.2
VVV2703137.44-390151.6 270:31:37.44 -39:01:51.6 -7.039 -8.018 14.054 0.713638 0.22 9.4
VVV2712031.76-392215.3 271:20:31.76 -39:22:15.3 -7.038 -8.736 14.129 0.528594 0.26 8.3
VVV2705759.29-390948.3 270:57:59.29 -39:09:48.3 -6.992 -8.381 13.844 0.534605 0.3 7.3
VVV2705643.95-390232.0 270:56:43.95 -39:02:32.0 -6.892 -8.31 14.304 0.508466 0.31 8.9
VVV2710402.86-390041.6 271:04:02.86 -39:00:41.6 -6.819 -8.378 13.632 0.535857 0.24 6.6
VVV2704957.72-384537.6 270:49:57.72 -38:45:37.6 -6.684 -8.098 13.943 0.671998 0.29 8.7
VVV2704931.29-384242.0 270:49:31.29 -38:42:42.0 -6.643 -8.07 14.053 0.487555 0.29 7.7
VVV2711706.74-385408.1 271:17:06.74 -38:54:08.1 -6.641 -8.476 15.175 0.485512 0.24 13.2
VVV2704935.69-383758.1 270:49:35.69 -38:37:58.1 -6.573 -8.033 13.474 0.711698 0.27 7.1
VVV2712043.83-384605.4 271:20:43.83 -38:46:05.4 -6.499 -8.454 14.095 0.517518 0.37 8.1
VVV2714403.10-385517.7 271:44:03.10 -38:55:17.7 -6.492 -8.793 13.833 0.682757 0.24 8.3
VVV2710657.48-383712.3 271:06:57.48 -38:37:12.3 -6.453 -8.226 15.328 0.460588 0.26 13.8
VVV2710328.95-383310.2 271:03:28.95 -38:33:10.2 -6.415 -8.154 14.822 0.496739 0.37 11.2
VVV2720532.28-385446.0 272:05:32.28 -38:54:46.0 -6.353 -9.036 14.812 0.567469 0.33 12.0
VVV2710819.39-382919.5 271:08:19.39 -38:29:19.5 -6.328 -8.179 14.376 0.465643 0.34 8.8
VVV2711429.76-383144.8 271:14:29.76 -38:31:44.8 -6.325 -8.269 14.543 0.59255 0.33 10.8
VVV2710612.13-382539.8 271:06:12.13 -38:25:39.8 -6.287 -8.126 13.892 0.437742 0.29 6.7
VVV2712815.94-382624.7 271:28:15.94 -38:26:24.7 -6.16 -8.386 14.364 0.557777 0.34 9.6
VVV2714521.51-383135.1 271:45:21.51 -38:31:35.1 -6.131 -8.623 14.557 0.52287 0.36 10.2
VVV2715901.70-383429.3 271:59:01.70 -38:34:29.3 -6.09 -8.803 14.206 0.530721 0.26 8.7
VVV2712026.01-381552.2 271:20:26.01 -38:15:52.2 -6.052 -8.213 14.58 0.577634 0.32 10.9
VVV2722154.38-383636.9 272:21:54.38 -38:36:36.9 -5.981 -9.084 13.931 0.663033 0.28 8.5
VVV2714852.96-382158.1 271:48:52.96 -38:21:58.1 -5.966 -8.589 14.914 0.4458 0.23 11.1
VVV2722003.10-383353.6 272:20:03.10 -38:33:53.6 -5.952 -9.041 13.288 0.606127 0.26 6.0
VVV2713233.45-381015.4 271:32:33.45 -38:10:15.4 -5.893 -8.308 14.12 0.471076 0.2 7.8
VVV2720657.82-382240.2 272:06:57.82 -38:22:40.2 -5.865 -8.803 14.199 0.501215 0.34 8.4
VVV2713213.13-380449.7 271:32:13.13 -38:04:49.7 -5.815 -8.262 14.02 0.499059 0.24 7.6
VVV2714813.71-380835.2 271:48:13.71 -38:08:35.2 -5.771 -8.477 14.577 0.424558 0.26 9.2
VVV2713707.44-375807.5 271:37:07.44 -37:58:07.5 -5.685 -8.266 14.204 0.505802 0.28 8.4
VVV2713251.03-375419.0 271:32:51.03 -37:54:19.0 -5.655 -8.186 15.152 0.494748 0.17 13.2
VVV2722936.33-380307.7 272:29:36.33 -38:03:07.7 -5.434 -8.914 14.403 0.523034 0.25 9.4
VVV2715214.70-374352.8 271:52:14.70 -37:43:52.8 -5.378 -8.33 14.306 0.611396 0.22 9.8
VVV2720006.03-374514.8 272:00:06.03 -37:45:14.8 -5.35 -8.432 13.83 0.488926 0.34 6.9
VVV2721750.39-373841.8 272:17:50.39 -37:38:41.8 -5.141 -8.588 14.843 0.640246 0.33 13.0
VVV2720110.20-372205.5 272:01:10.20 -37:22:05.5 -4.998 -8.264 13.697 0.5304 0.31 6.8
VVV2721401.17-372615.5 272:14:01.17 -37:26:15.5 -4.98 -8.447 14.129 0.481726 0.25 7.9
VVV2724720.87-373847.3 272:47:20.87 -37:38:47.3 -4.96 -8.934 14.213 0.654138 0.27 9.7
VVV2723755.85-373419.9 272:37:55.85 -37:34:19.9 -4.952 -8.789 13.864 0.559572 0.23 7.5
VVV2723443.77-372946.2 272:34:43.77 -37:29:46.2 -4.903 -8.716 14.632 0.474201 0.25 10.0
VVV2720024.25-371510.7 272:00:24.25 -37:15:10.7 -4.9 -8.201 14.196 0.472306 0.35 8.1
VVV2721456.07-371655.7 272:14:56.07 -37:16:55.7 -4.835 -8.385 13.781 0.505906 0.23 6.9
VVV2721006.80-371438.0 272:10:06.80 -37:14:38.0 -4.831 -8.31 15.509 0.497124 0.35 15.7
VVV2724759.12-372125.4 272:47:59.12 -37:21:25.4 -4.696 -8.807 13.657 0.536671 0.3 6.7
VVV2715943.19-370052.1 271:59:43.19 -37:00:52.1 -4.692 -8.081 14.822 0.487522 0.25 11.1
VVV2723427.36-371220.7 272:34:27.36 -37:12:20.7 -4.645 -8.578 16.236 0.454275 0.45 21.2
VVV2725602.64-372104.9 272:56:02.64 -37:21:04.9 -4.641 -8.899 14.046 0.58915 0.13 8.5
VVV2731719.92-372501.6 273:17:19.92 -37:25:01.6 -4.569 -9.18 14.342 0.50437 0.31 9.0
VVV2725214.76-371318.0 272:52:14.76 -37:13:18.0 -4.548 -8.795 14.232 0.545712 0.25 8.9
VVV2724644.65-370820.3 272:46:44.65 -37:08:20.3 -4.508 -8.692 14.219 0.543658 0.32 8.8
VVV2723851.15-370405.7 272:38:51.15 -37:04:05.7 -4.494 -8.566 14.21 0.470757 0.35 8.1
VVV2722532.58-365524.7 272:25:32.58 -36:55:24.7 -4.448 -8.342 14.791 0.527415 0.22 11.4
VVV2725752.04-370658.3 272:57:52.04 -37:06:58.3 -4.419 -8.812 13.761 0.55191 0.26 7.1
VVV2722134.22-365108.5 272:21:34.22 -36:51:08.5 -4.409 -8.262 14.307 0.56726 0.28 9.4
VVV2731022.15-370833.3 273:10:22.15 -37:08:33.3 -4.365 -8.972 14.702 0.571893 0.27 11.5
VVV2722725.85-364838.9 272:27:25.85 -36:48:38.9 -4.335 -8.312 13.589 0.535395 0.27 6.4
VVV2721252.74-363732.8 272:12:52.74 -36:37:32.8 -4.262 -8.053 15.464 0.495692 0.3 15.3
VVV2722147.64-364036.6 272:21:47.64 -36:40:36.6 -4.251 -8.183 14.374 0.472331 0.34 8.8
VVV2730538.08-365726.0 273:05:38.08 -36:57:26.0 -4.228 -8.831 14.26 0.543886 0.31 9.0
VVV2723551.33-364335.2 272:35:51.33 -36:43:35.2 -4.207 -8.372 14.146 0.652835 0.25 9.4
VVV2722227.24-363652.5 272:22:27.24 -36:36:52.5 -4.191 -8.161 14.796 0.475975 0.23 10.9
VVV2730527.20-365216.9 273:05:27.20 -36:52:16.9 -4.152 -8.789 13.948 0.639795 0.2 8.4
VVV2723629.29-375450.8 272:36:29.29 -37:54:50.8 -5.267 -8.93 14.962 0.474816 0.36 11.7
VVV2720548.10-372833.8 272:05:48.10 -37:28:33.8 -5.066 -8.368 14.381 0.464149 0.3 8.8
VVV2725004.34-373100.3 272:50:04.34 -37:31:00.3 -4.827 -8.906 14.07 0.650893 0.21 9.0
VVV2725738.27-373047.4 272:57:38.27 -37:30:47.4 -4.777 -8.993 13.32 0.764924 0.21 6.9
VVV2725931.29-372919.2 272:59:31.29 -37:29:19.2 -4.743 -9.004 14.085 0.84578 0.22 10.5
VVV2731715.83-364700.2 273:17:15.83 -36:47:00.2 -4.0 -8.889 15.36 0.588263 0.23 16.0
VVV2731008.91-364330.2 273:10:08.91 -36:43:30.2 -3.991 -8.777 14.586 0.4455 0.28 9.5
VVV2730114.01-363129.9 273:01:14.01 -36:31:29.9 -3.867 -8.579 15.061 0.570047 0.24 13.6
VVV2722806.67-361626.0 272:28:06.67 -36:16:26.0 -3.851 -8.069 14.147 0.588984 0.32 8.9
VVV2732945.94-363846.1 273:29:45.94 -36:38:46.1 -3.799 -8.974 13.793 0.470396 0.36 6.6
VVV2724855.95-362110.3 272:48:55.95 -36:21:10.3 -3.79 -8.353 13.705 0.778931 0.28 8.4
VVV2733036.67-363624.9 273:30:36.67 -36:36:24.9 -3.758 -8.966 14.009 0.582086 0.27 8.3
VVV2724553.67-361356.5 272:45:53.67 -36:13:56.5 -3.702 -8.261 13.977 0.612775 0.19 8.4
VVV2731244.41-362307.2 273:12:44.41 -36:23:07.2 -3.67 -8.652 14.13 0.602519 0.22 8.9
VVV2731501.17-362149.5 273:15:01.17 -36:21:49.5 -3.636 -8.669 14.132 0.523733 0.32 8.3
VVV2732329.07-362436.3 273:23:29.07 -36:24:36.3 -3.625 -8.791 13.767 0.615684 0.46 7.6
VVV2734033.75-363044.3 273:40:33.75 -36:30:44.3 -3.611 -9.041 14.689 0.487439 0.3 10.4
VVV2734129.53-362705.8 273:41:29.53 -36:27:05.8 -3.551 -9.025 14.378 0.474532 0.34 8.9
VVV2730255.66-360342.4 273:02:55.66 -36:03:42.4 -3.442 -8.385 14.373 0.640176 0.24 10.4
VVV2730536.57-360134.7 273:05:36.57 -36:01:34.7 -3.393 -8.401 14.393 0.537138 0.28 9.5
VVV2733413.71-360644.7 273:34:13.71 -36:06:44.7 -3.291 -8.783 14.11 0.570363 0.25 8.6
VVV2725233.93-354416.0 272:52:33.93 -35:44:16.0 -3.217 -8.111 13.771 0.627778 0.31 7.7
VVV2735257.20-360828.3 273:52:57.20 -36:08:28.3 -3.2 -9.02 14.499 0.527757 0.31 9.9
VVV2735217.92-360538.7 273:52:17.92 -36:05:38.7 -3.162 -8.991 13.8 0.617086 0.33 7.7
VVV2730358.07-354437.1 273:03:58.07 -35:44:37.1 -3.15 -8.25 14.42 0.539561 0.24 9.7
VVV2733824.84-355455.0 273:38:24.84 -35:54:55.0 -3.087 -8.743 14.194 0.508839 0.25 8.4
VVV2731638.55-354528.3 273:16:38.55 -35:45:28.3 -3.083 -8.409 13.955 0.594375 0.26 8.1
VVV2732239.38-354714.7 273:22:39.38 -35:47:14.7 -3.071 -8.495 13.615 0.82511 0.3 8.3
VVV2733058.59-354833.5 273:30:58.59 -35:48:33.5 -3.039 -8.605 14.767 0.511535 0.33 11.1
VVV2725604.74-353244.2 272:56:04.74 -35:32:44.2 -3.023 -8.064 13.74 0.6578 0.32 7.8
VVV2731512.54-353924.8 273:15:12.54 -35:39:24.8 -3.001 -8.345 15.313 0.638574 0.26 16.3
VVV2740535.16-360017.3 274:05:35.16 -36:00:17.3 -2.998 -9.11 14.368 0.605301 0.21 10.0
VVV2735034.92-354724.8 273:50:34.92 -35:47:24.8 -2.899 -8.832 14.273 0.589477 0.25 9.5
VVV2733149.10-353413.8 273:31:49.10 -35:34:13.8 -2.819 -8.505 14.124 0.585514 0.29 8.8
VVV2731133.29-352457.1 273:11:33.29 -35:24:57.1 -2.808 -8.19 12.353 0.524444 0.32 3.5
VVV2735339.25-354126.4 273:53:39.25 -35:41:26.4 -2.79 -8.823 13.744 0.542023 0.26 7.0
VVV2730736.80-352109.1 273:07:36.80 -35:21:09.1 -2.777 -8.113 13.85 0.48503 0.34 6.9
VVV2741013.01-354614.0 274:10:13.01 -35:46:14.0 -2.758 -9.059 13.964 0.657761 0.31 8.6
VVV2740455.20-353803.8 274:04:55.20 -35:38:03.8 -2.669 -8.933 13.268 0.474672 0.3 5.2
VVV2732803.40-352030.4 273:28:03.40 -35:20:30.4 -2.637 -8.354 14.073 0.5045 0.23 7.9
VVV2733444.42-352242.8 273:34:44.42 -35:22:42.8 -2.628 -8.452 14.046 0.396421 0.21 6.8
VVV2723658.71-362807.1 272:36:58.71 -36:28:07.1 -3.969 -8.265 13.054 0.81493 0.29 6.2
VVV2732809.37-361430.8 273:28:09.37 -36:14:30.8 -3.445 -8.77 13.919 0.444735 0.34 6.8
VVV2733253.09-354613.3 273:32:53.09 -35:46:13.3 -2.992 -8.61 13.983 0.651279 0.31 8.7
VVV2733738.67-352336.0 273:37:38.67 -35:23:36.0 -2.623 -8.494 14.279 0.547151 0.32 9.1
VVV2734140.54-352456.3 273:41:40.54 -35:24:56.3 -2.618 -8.553 14.037 0.546305 0.25 8.1
VVV2732919.80-351854.9 273:29:19.80 -35:18:54.9 -2.605 -8.358 14.311 0.754245 0.27 11.0
VVV2741426.37-353708.8 274:14:26.37 -35:37:08.8 -2.595 -9.041 14.274 0.583475 0.23 9.4
VVV2735222.26-352734.5 273:52:22.26 -35:27:34.5 -2.59 -8.702 13.871 0.918999 0.22 9.9
VVV2730922.26-350757.4 273:09:22.26 -35:07:57.4 -2.569 -8.032 13.692 0.477544 0.35 6.4
VVV2734127.19-352035.6 273:41:27.19 -35:20:35.6 -2.554 -8.517 13.676 0.609567 0.35 7.2
VVV2735942.07-352754.8 273:59:42.07 -35:27:54.8 -2.549 -8.793 14.75 0.532122 0.29 11.3
VVV2733638.45-351449.5 273:36:38.45 -35:14:49.5 -2.498 -8.414 14.454 0.455158 0.35 9.0
VVV2740722.74-352507.5 274:07:22.74 -35:25:07.5 -2.459 -8.865 13.475 0.512702 0.32 6.0
VVV2734436.09-351324.8 273:44:36.09 -35:13:24.8 -2.427 -8.5 14.389 0.520159 0.3 9.4
VVV2741224.96-352017.7 274:12:24.96 -35:20:17.7 -2.355 -8.889 13.979 0.497953 0.34 7.5
VVV2740715.58-351629.9 274:07:15.58 -35:16:29.9 -2.33 -8.798 13.74 0.681566 0.3 7.9
VVV2733347.46-345714.6 273:33:47.46 -34:57:14.6 -2.253 -8.245 13.738 0.567183 0.29 7.2
VVV2733840.20-345906.3 273:38:40.20 -34:59:06.3 -2.25 -8.319 14.686 0.489179 0.24 10.4
VVV2734653.55-350118.7 273:46:53.55 -35:01:18.7 -2.231 -8.435 14.615 0.566248 0.32 10.9
VVV2734637.38-345411.4 273:46:37.38 -34:54:11.4 -2.126 -8.377 15.189 0.536993 0.3 14.0
VVV2743312.54-351121.0 274:33:12.54 -35:11:21.0 -2.09 -9.073 13.648 0.615635 0.2 7.2
VVV2743253.79-350633.2 274:32:53.79 -35:06:33.2 -2.02 -9.034 14.707 0.473711 0.34 10.4
VVV2743817.70-350456.0 274:38:17.70 -35:04:56.0 -1.962 -9.087 13.805 0.527582 0.22 7.1
VVV2735029.17-344201.2 273:50:29.17 -34:42:01.2 -1.919 -8.331 14.032 0.549354 0.28 8.1
VVV2735943.13-344456.9 273:59:43.13 -34:44:56.9 -1.905 -8.466 13.5 0.553085 0.29 6.3
VVV2742109.96-345352.6 274:21:09.96 -34:53:52.6 -1.903 -8.795 14.332 0.462888 0.29 8.5
VVV2735345.71-344202.4 273:53:45.71 -34:42:02.4 -1.899 -8.371 14.085 0.483075 0.37 7.8
VVV2741302.34-344627.5 274:13:02.34 -34:46:27.5 -1.843 -8.64 13.435 0.575245 0.26 6.2
VVV2741722.62-344730.4 274:17:22.62 -34:47:30.4 -1.831 -8.7 14.595 0.497045 0.25 10.1
VVV2742533.40-344836.6 274:25:33.40 -34:48:36.6 -1.796 -8.809 12.531 0.619138 0.35 4.2
VVV2742728.95-344116.0 274:27:28.95 -34:41:16.0 -1.674 -8.776 14.168 0.531098 0.24 8.5
VVV2741340.08-343116.3 274:13:40.08 -34:31:16.3 -1.611 -8.532 15.224 0.44523 0.41 12.9
VVV2744307.84-344107.2 274:43:07.84 -34:41:07.2 -1.573 -8.967 13.954 0.576515 0.26 8.0
VVV2740237.97-342233.3 274:02:37.97 -34:22:33.3 -1.551 -8.331 14.042 0.651988 0.28 8.9
VVV2741231.05-342516.7 274:12:31.05 -34:25:16.7 -1.529 -8.472 14.601 0.503398 0.29 10.2
VVV2741430.12-342536.1 274:14:30.12 -34:25:36.1 -1.521 -8.499 14.354 0.560834 0.27 9.6
VVV2734946.05-341436.7 273:49:46.05 -34:14:36.7 -1.514 -8.112 14.675 0.475048 0.31 10.2
VVV2735910.20-341822.9 273:59:10.20 -34:18:22.9 -1.51 -8.256 15.353 0.553934 0.29 15.4
VVV2742654.84-342504.7 274:26:54.84 -34:25:04.7 -1.434 -8.647 14.181 0.623088 0.31 9.3
VVV2741507.38-341727.9 274:15:07.38 -34:17:27.9 -1.395 -8.445 14.65 0.453256 0.36 9.8
VVV2740606.79-341312.6 274:06:06.79 -34:13:12.6 -1.389 -8.302 15.166 0.488091 0.35 13.2
VVV2741640.08-341613.8 274:16:40.08 -34:16:13.8 -1.367 -8.454 13.919 0.684266 0.26 8.6
VVV2743205.87-341844.2 274:32:05.87 -34:18:44.2 -1.306 -8.662 13.006 0.643832 0.33 5.4
VVV2743747.70-341728.6 274:37:47.70 -34:17:28.6 -1.251 -8.723 13.866 0.565563 0.25 7.6
VVV2741048.75-340122.3 274:10:48.75 -34:01:22.3 -1.181 -8.269 14.394 0.605631 0.35 10.2
VVV2740748.40-351726.8 274:07:48.40 -35:17:26.8 -2.341 -8.812 13.904 0.4819 0.32 7.1
VVV2741123.67-335150.3 274:11:23.67 -33:51:50.3 -1.035 -8.203 14.517 0.532439 0.32 10.1
VVV2742149.34-335532.1 274:21:49.34 -33:55:32.1 -1.024 -8.36 13.612 0.67532 0.2 7.4
VVV2742639.96-335654.5 274:26:39.96 -33:56:54.5 -1.013 -8.43 13.849 0.567769 0.27 7.5
VVV2743729.42-335611.7 274:37:29.42 -33:56:11.7 -0.934 -8.558 14.001 0.616835 0.27 8.5
VVV2742728.37-335146.2 274:27:28.37 -33:51:46.2 -0.931 -8.401 14.726 0.686168 0.31 12.8
VVV2740802.58-334319.8 274:08:02.58 -33:43:19.8 -0.929 -8.097 14.315 0.547981 0.32 9.3
VVV2744057.42-335631.3 274:40:57.42 -33:56:31.3 -0.917 -8.603 13.477 0.570402 0.28 6.3
VVV2742121.33-334742.4 274:21:21.33 -33:47:42.4 -0.909 -8.295 13.95 0.534068 0.2 7.7
VVV2740804.45-334141.8 274:08:04.45 -33:41:41.8 -0.904 -8.085 14.015 0.49988 0.32 7.6
VVV2744713.95-335354.1 274:47:13.95 -33:53:54.1 -0.837 -8.661 14.543 0.479322 0.32 9.6
VVV2741123.21-333359.5 274:11:23.21 -33:33:59.5 -0.768 -8.067 14.31 0.473458 0.32 8.6
VVV2750922.26-335458.0 275:09:22.26 -33:54:58.0 -0.713 -8.942 14.004 0.435692 0.36 7.1
VVV2751357.07-335539.8 275:13:57.07 -33:55:39.8 -0.695 -9.004 14.122 0.476669 0.35 7.8
VVV2751657.42-335646.1 275:16:57.42 -33:56:46.1 -0.693 -9.049 13.517 0.437311 0.36 5.6
VVV2743804.34-333757.2 274:38:04.34 -33:37:57.2 -0.656 -8.427 14.107 0.599797 0.27 8.8
VVV2742625.55-333214.2 274:26:25.55 -33:32:14.2 -0.645 -8.239 14.915 0.440511 0.24 11.0
VVV2742616.64-333025.2 274:26:16.64 -33:30:25.2 -0.619 -8.224 14.951 0.505283 0.3 12.1
VVV2751455.79-334555.2 275:14:55.79 -33:45:55.2 -0.542 -8.943 14.385 0.624859 0.32 10.3
VVV2741622.15-331940.9 274:16:22.15 -33:19:40.9 -0.522 -8.019 13.591 0.553302 0.32 6.6
VVV2745722.50-333508.8 274:57:22.50 -33:35:08.8 -0.491 -8.644 15.14 0.501794 0.24 13.2
VVV2742809.03-331543.8 274:28:09.03 -33:15:43.8 -0.387 -8.135 14.912 0.46896 0.24 11.4
VVV2752533.75-334005.2 275:25:33.75 -33:40:05.2 -0.387 -9.031 14.143 0.585484 0.31 8.8
VVV2751433.87-333521.6 275:14:33.87 -33:35:21.6 -0.385 -8.859 14.811 0.544324 0.26 11.8
VVV2745734.69-332444.7 274:57:34.69 -33:24:44.7 -0.333 -8.568 13.941 0.783883 0.21 9.4
VVV2751856.37-332658.4 275:18:56.37 -33:26:58.4 -0.231 -8.85 14.677 0.619333 0.29 11.8
VVV2744915.47-331351.5 274:49:15.47 -33:13:51.5 -0.223 -8.383 14.682 0.468064 0.36 10.2
VVV2744731.53-331205.4 274:47:31.53 -33:12:05.4 -0.208 -8.348 14.071 0.493905 0.25 7.8
VVV2753937.74-333105.5 275:39:37.74 -33:31:05.5 -0.163 -9.138 14.337 0.520172 0.24 9.1
VVV2744250.28-330614.5 274:42:50.28 -33:06:14.5 -0.15 -8.245 13.26 0.516041 0.28 5.4
VVV2743120.28-325841.8 274:31:20.28 -32:58:41.8 -0.111 -8.045 14.522 0.593349 0.41 10.7
VVV2744743.71-330421.6 274:47:43.71 -33:04:21.6 -0.09 -8.292 13.811 0.510326 0.31 7.0
VVV2743337.74-325645.4 274:33:37.74 -32:56:45.4 -0.067 -8.059 14.226 0.464313 0.28 8.1
VVV2744421.33-330033.9 274:44:21.33 -33:00:33.9 -0.055 -8.221 14.048 0.528505 0.29 8.0
VVV2750539.37-330607.9 275:05:39.37 -33:06:07.9 -0.002 -8.528 14.429 0.468187 0.33 9.0
VVV2745536.91-330138.6 274:55:36.91 -33:01:38.6 0.001 -8.369 14.765 0.55017 0.32 11.6
