# VVVID RA Dec l b Ks P Amp dist(kpc)
VVV2722138.38-390932.1 272:21:38.38 -39:09:32.1 -6.476 -9.334 14.269 0.439199 0.35 8.1
VVV2730459.30-392207.4 273:04:59.30 -39:22:07.4 -6.405 -9.928 14.883 0.576166 0.2 12.6
VVV2732728.37-392931.4 273:27:28.37 -39:29:31.4 -6.383 -10.242 14.052 0.60183 0.25 8.6
VVV2724505.22-391234.4 272:45:05.22 -39:12:34.4 -6.38 -9.627 14.9 0.471125 0.25 11.3
VVV2725623.39-391102.8 272:56:23.39 -39:11:02.8 -6.289 -9.745 14.579 0.520855 0.22 10.3
VVV2731154.26-391702.5 273:11:54.26 -39:17:02.5 -6.287 -9.969 14.53 0.564468 0.29 10.5
VVV2730130.18-391219.9 273:01:30.18 -39:12:19.9 -6.278 -9.813 14.42 0.563517 0.28 9.9
VVV2724319.58-385903.9 272:43:19.58 -38:59:03.9 -6.188 -9.503 15.023 0.531237 0.34 12.9
VVV2731156.13-390544.2 273:11:56.13 -39:05:44.2 -6.116 -9.883 13.646 0.531912 0.32 6.6
VVV2733722.85-391731.0 273:37:22.85 -39:17:31.0 -6.143 -10.265 14.38 0.596969 0.28 10.0
VVV2725509.84-385901.0 272:55:09.84 -38:59:01.0 -6.116 -9.639 13.583 0.49121 0.22 6.1
VVV2723256.71-384805.0 272:32:56.71 -38:48:05.0 -6.086 -9.299 14.166 0.610139 0.2 9.2
VVV2724552.44-385054.5 272:45:52.44 -38:50:54.5 -6.05 -9.47 13.99 0.557296 0.29 8.0
VVV2732352.26-390257.1 273:23:52.26 -39:02:57.1 -6.003 -10.0 14.505 0.556632 0.31 10.3
VVV2723040.02-383833.0 272:30:40.02 -38:38:33.0 -5.957 -9.2 13.338 0.522999 0.25 5.6
VVV2724043.89-384206.5 272:40:43.89 -38:42:06.5 -5.949 -9.343 13.997 0.608332 0.3 8.4
VVV2732740.20-390037.6 273:27:40.20 -39:00:37.6 -5.946 -10.026 14.557 0.522463 0.28 10.2
VVV2725420.10-384605.6 272:54:20.10 -38:46:05.6 -5.927 -9.531 14.119 0.741625 0.17 9.9
VVV2734627.07-390448.3 273:46:27.07 -39:04:48.3 -5.897 -10.274 14.016 0.644749 0.32 8.8
VVV2730033.93-384356.4 273:00:33.93 -38:43:56.4 -5.857 -9.586 14.512 0.558931 0.29 10.3
VVV2725656.01-384114.9 272:56:56.01 -38:41:14.9 -5.838 -9.524 14.679 0.672948 0.24 12.4
VVV2723746.99-383304.1 272:37:46.99 -38:33:04.1 -5.832 -9.24 14.284 0.580869 0.3 9.4
VVV2731251.45-384629.8 273:12:51.45 -38:46:29.8 -5.821 -9.748 14.369 0.629426 0.24 10.3
VVV2733726.60-384405.0 273:37:26.60 -38:44:05.0 -5.638 -10.014 14.049 0.807422 0.24 10.1
VVV2731257.78-383309.2 273:12:57.78 -38:33:09.2 -5.62 -9.648 13.94 0.764368 0.23 9.3
VVV2731308.33-383242.3 273:13:08.33 -38:32:42.3 -5.612 -9.646 14.293 0.557476 0.28 9.3
VVV2733303.51-384017.6 273:33:03.51 -38:40:17.6 -5.607 -9.935 13.996 0.882535 0.17 10.3
VVV2725250.75-382345.4 272:52:50.75 -38:23:45.4 -5.6 -9.343 14.302 0.675566 0.28 10.3
VVV2735124.03-384533.4 273:51:24.03 -38:45:33.4 -5.577 -10.187 13.583 0.612329 0.22 6.9
VVV2731408.79-381912.2 273:14:08.79 -38:19:12.2 -5.403 -9.556 13.905 0.591478 0.22 7.9
VVV2735045.46-382850.0 273:50:45.46 -38:28:50.0 -5.328 -10.055 13.821 0.480247 0.32 6.8
VVV2734735.04-382330.9 273:47:35.04 -38:23:30.9 -5.266 -9.978 14.586 0.456704 0.37 9.6
VVV2731904.92-380958.9 273:19:04.92 -38:09:58.9 -5.234 -9.543 14.121 0.630728 0.27 9.1
VVV2734646.41-382029.1 273:46:46.41 -38:20:29.1 -5.226 -9.945 13.714 0.620582 0.28 7.4
VVV2740129.76-382259.4 274:01:29.76 -38:22:59.4 -5.175 -10.136 13.705 0.679648 0.26 7.8
VVV2725916.05-375547.6 272:59:16.05 -37:55:47.6 -5.142 -9.203 14.714 0.54321 0.26 11.2
VVV2733048.87-380355.7 273:30:48.87 -38:03:55.7 -5.072 -9.634 13.499 0.659326 0.35 6.9
VVV2731127.42-375541.8 273:11:27.42 -37:55:41.8 -5.066 -9.345 14.875 0.606211 0.25 12.9
VVV2730736.91-375218.9 273:07:36.91 -37:52:18.9 -5.038 -9.274 14.674 0.603464 0.34 11.6
VVV2741423.44-381809.1 274:14:23.44 -38:18:09.1 -5.025 -10.25 13.851 0.656495 0.28 8.2
VVV2731520.97-375149.8 273:15:20.97 -37:51:49.8 -4.984 -9.361 13.671 0.526518 0.24 6.7
VVV2733717.92-380014.5 273:37:17.92 -38:00:14.5 -4.977 -9.682 15.484 0.56243 0.26 16.6
